ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,MultiTree_Names
urlc,Uralic,,,,ural1272,,Finsk-Samojedisk | Proto-Uralic | Uralic | Uralisch | ouralien | uralische Grundsprache | uralische Sprachklasse
fugr,fugr,,,,,,Fenno-Ugric | Finno-Ugrian | Finno-Ugric | I. Classe | Proto-Finno-Ugric | finnisch-ugrische Sprachen | finno-ougrien
finn,Finnic,,,,finn1317,,Fennic | Finnic | Proto-Fennic | finnique
est,est,,,,,,Esthonian | Estnisch | Estonian
fin,Finnish,,64.7628,25.5577,finn1318,,Finnen | Finnisch | Finnish | Suomi | finnois
izh,Ingrian,,59.47403,29.71145,ingr1248,,Ingrian | Ingrisch | Izhor | ingrien
krl,Karelian,,65.1691,30.8655,kare1335,,Karelian | Karelian proper | Karelisch | carélien
koi,Komi-Permyak,,59.6602,54.7959,komi1269,,Komi-Permjakisch | Komi-Permyak | Permecki | Permyak | komi-permjakischer Dialekt
kpv,Komi-Zyrian,,64.0527,54.946,komi1268,,Komi | Komi Zyryan | Komi-Syrjänisch | Komi-Zyrian | Komi-Zyryan | Syränisch | Ziryene | Ziryene proper | Zyrian | komi-syrjänischer Dialekt | zyriène
liv,Liv,,57.566,22.0262,livv1244,,Liv | Livian | Livisch | Livonian | live
mrj,Western Mari,,56.22,46.569,west2392,,"Bergtscheremissisch | Bergčeremissisch | Hill Cheremis | Hill Cheremiss | Hill Mari | Mari (Hill) | Mari, Hill | Mari, Western | Mountain dialect | Western | Western Mari | western group | westliches Mundartgebiet"
mhr,Eastern Mari,,55.8307,48.405,east2328,,"Eastern | Eastern Cheremis | Eastern Mari | Mari (Meadow) | Mari, Eastern | Mari, Meadow | Ostčeremissisch | eastern group"
myv,Erzya,,52.8548,45.3901,erzy1239,,Ersä-Mundart | Erza | Erza-Mordvinisch | Erza-Mordwinisch | Erzja | Erzya | Erzya-Mordva | Erzya-Mordvin | Erzá | Mordva | Mordvin | Mordvin (Erzya) | Mordvinian | mordve
