ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source,Regions,Node_Metadata,Source_Comment
10008,10008,Uralic: Dryer 2005,Yes,summary,,10008,wals[599],Asia;Europe,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 599. New York: Oxford University Press. ISBN 0199255911"
10012,10012,Dravidian: Dryer 2005,Yes,summary,,10012,wals[602],Asia,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 602. New York: Oxford University Press. ISBN 0199255911"
10014,10014,Altaic: Dryer 2005,Yes,summary,,10014,wals[599-600],Asia;Europe,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 599-600. New York: Oxford University Press. ISBN 0199255911"
10016,10016,Jukagirisch und Uralisch: Collinder 1940,Yes,summary,,10016,,Asia;Europe,,"Collinder, Björn. 1940. Jukagirisch und Uralisch. In Uppsala Universitets Årsskrift, vol. 8, 1-19,102-108. Uppsala: Almquist & Wiksells Boktryckeri-A.-B."
10017,10017,Nilo-Saharan: Dryer 2005,Yes,summary,,10017,wals[591-593],Africa,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 591-593. New York: Oxford University Press. ISBN 0199255911"
10022,10022,Eskimo Aleut: Goddard 1996,Yes,summary,,10022,Goddard-1996-clf[4-8],North America,Alternative_Names,"Goddard, Ives. 1996. The Classification of the Native Languages of North America, Handbook of North American Indians, vol. 17, 4-8. Washington: Smithsonian Institute. ISBN 0874741971"
10023,10023,Eskimo-Aleut: Mithun 1999,Yes,summary,,10023,Mithun-1999,North America,Alternative_Names;Start_Date;Status,"Mithun, Marianne. 1999. The Languages of Native North America. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
10057,10057,Nilo-Saharan: Ruhlen 1991,Yes,summary,,10057,"Ruhlen-1991[328,64-71]",Africa,Alternative_Names,"Ruhlen, Merritt. 1991. A Guide to the World's Languages, vol. 1: Classification, 328,64-71. Stanford: Stanford University Press. ISBN 0-8047-1894-6"
10061,10061,Eskimo-Aleut: Campbell 1997,Yes,summary,,10061,Campbell-1997,North America,Alternative_Names,"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America. Oxford: Oxford University Press. ISBN 0195094271"
10074,10074,Samojedische Sprachen: Castrén 1966,Yes,summary,,10074,,Asia;Europe,Alternative_Names;Comment;Geography,"Castrén, Matthias Alexander. 1854. Grammatik der Samojedischen Sprachen. 1966. Bloomington: Indiana University."
10081,10081,Eskimo-Aleut: Greenberg 1987,Yes,summary,,10081,Greenberg-1987,North America,Alternative_Names,"Greenberg, Joseph H. 1987. Language in the Americas. Stanford: Stanford University Press. ISBN 0804713154"
10205,10205,Peba-Yaguan: Ethnologue 2005,Yes,summary,,10205,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10206,10206,Amto-Musan: Ethnologue 2005,Yes,summary,,10206,Ethnologue15,Pacific,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10210,10210,Bayono-Awbono: Ethnologue 2005,Yes,summary,,10210,Ethnologue15,Pacific,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10211,10211,East Bird's Head: Ethnologue 2005,Yes,summary,,10211,Ethnologue15,Pacific,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10214,10214,Kwomtari-Baibai: Ethnologue 2005,Yes,summary,,10214,Ethnologue15,Pacific,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10215,10215,Left May: Ethnologue 2005,Yes,summary,,10215,Ethnologue15,Pacific,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10217,10217,Misumalpan: Ethnologue 2005,Yes,summary,,10217,Ethnologue15,Central America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10218,10218,Mixe-Zoque: Ethnologue 2005,Yes,summary,,10218,Ethnologue15,Central America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10219,10219,Mura: Ethnologue 2005,Yes,summary,,10219,Ethnologue15,South America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10220,10220,Muskogean: Ethnologue 2005,Yes,summary,,10220,Ethnologue15,North America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10221,10221,Nambiquaran: Ethnologue 2005,Yes,summary,,10221,Ethnologue15,South America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10225,10225,Quechuan: Ethnologue 2005,Yes,summary,,10225,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10227,10227,Salivan: Ethnologue 2005,Yes,summary,,10227,Ethnologue15,South America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10229,10229,Siouan: Ethnologue 2005,Yes,summary,,10229,Ethnologue15,North America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10230,10230,Sko: Ethnologue 2005,Yes,summary,,10230,Ethnologue15,Pacific,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10233,10233,Torricelli: Ethnologue 2005,Yes,summary,,10233,Ethnologue15,Pacific,Alternative_Names;Geography,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10235,10235,Algic: Ethnologue 2005,Yes,summary,,10235,Ethnologue15,North America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10242,10242,Aymaran: Ethnologue 2005,Yes,summary,,10242,Ethnologue15,South America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10243,10243,Barbacoan: Ethnologue 2005,Yes,summary,,10243,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10244,10244,Basque: Ethnologue 2005,Yes,summary,,10244,Ethnologue15,Europe,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10245,10245,Cahuapanan: Ethnologue 2005,Yes,summary,,10245,Ethnologue15,South America,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10246,10246,Choco: Ethnologue 2005,Yes,summary,,10246,Ethnologue15,South America,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10247,10247,Chukchi-Kamchatkan: Ethnologue 2005,Yes,summary,,10247,Ethnologue15,Asia,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10248,10248,Harakmbet: Ethnologue 2005,Yes,summary,,10248,Ethnologue15,South America,Alternative_Names;Geography,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10250,10250,Katukinan: Ethnologue 2005,Yes,summary,,10250,Ethnologue15,South America,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10259,10259,West Papuan: Ethnologue 2005,Yes,summary,,10259,Ethnologue15,Pacific,Alternative_Names;Comment;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10267,10267,Eskimo-Aleut: Ethnologue 2005,Yes,summary,,10267,Ethnologue15,North America,Alternative_Names;End_Date;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10268,10268,Eskimo-Aleut: Krauss 1976,Yes,summary,,10268,,North America,Alternative_Names;Comment;Geography;Status,"Krauss, Michael E. 1976. Eskimo-Aleut, Native Languages of the Americas, vol. 1, 182-281. New York: Plenum Press. ISBN 0-306-37157-X"
10269,10269,Eskimo-Aleut: Krauss 1979,Yes,summary,,10269,,North America,Alternative_Names;Comment;Geography;Status,"Krauss, Michael E. 1979. Na-Dene and Eskimo-Aleut, The Languages of Native America: Historical and Comparative Assessment, 808-901. Austin, TX: University of Texas Press. ISBN 0-292-74624-5"
10271,10271,Hmong-Mien: Ethnologue 2005,Yes,summary,,10271,Ethnologue15,Asia,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10311,10311,Tacanan: Ethnologue 2005,Yes,summary,,10311,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10313,10313,Totonacan: Ethnologue 2005,Yes,summary,,10313,Ethnologue15,Central America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10322,10322,Tucanoan: Ethnologue 2005,Yes,summary,,10322,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10326,10326,Tupi: Ethnologue 2005,Yes,summary,,10326,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10328,10328,Uru-Chipaya: Ethnologue 2005,Yes,summary,,10328,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10331,10331,Uto-Aztecan: Ethnologue 2005,Yes,summary,,10331,Ethnologue15,Central America;North America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10333,10333,Wakashan: Ethnologue 2005,Yes,summary,,10333,Ethnologue15,North America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10336,10336,Witotoan: Ethnologue 2005,Yes,summary,,10336,Ethnologue15,South America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10340,10340,Guahiban: Ethnologue 2005,Yes,summary,,10340,Ethnologue15,South America,Alternative_Names;Geography,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10341,10341,Chon: Ethnologue 2005,Yes,summary,,10341,Ethnologue15,South America,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10342,10342,Chapacura-Wanham: Ethnologue 2005,Yes,summary,,10342,Ethnologue15,South America,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10344,10344,Austronesian: Benedict 1983,Yes,summary,,10344,,Pacific,Comment,"Benedict, Paul K. 1983. Personal Letter to Professor Merritt Ruhlen."
10348,10348,Zamucoan: Ethnologue 2005,Yes,summary,,10348,Ethnologue15,South America,Alternative_Names,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10349,10349,Kartvelian: Ethnologue 2005,Yes,summary,,10349,Ethnologue15,Asia;Europe,Alternative_Names;Geography,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10352,10352,Zaparoan: Ethnologue 2005,Yes,summary,,10352,Ethnologue15,South America,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10353,10353,Caddoan: Ethnologue 2005,Yes,summary,,10353,Ethnologue15,North America,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10354,10354,Austronesian: Blust 1978,Yes,summary,,10354,,Pacific,,"Blust, Robert A. 1978. Eastern Malayo-Polynesian: A Subgrouping Argument. In Lois  Carrington & Stephen   Wurm (eds.), Proceedings of the Second International Conference on Austronesian Linguistics, Fascicle 1: Western Austronesian., vol. Fascicle I, 220. Canberra: Pacific Linguistics, Series C-61. ISBN B001ACY814"
10355,10355,Gulf: Ethnologue 2005,Yes,summary,,10355,Ethnologue15,,Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10357,10357,Chumash: Ethnologue 2005,Yes,summary,,10357,Ethnologue15,North America,Alternative_Names;End_Date;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10360,10360,Japanese: Ethnologue 2005,Yes,summary,,10360,Ethnologue15,Asia,Alternative_Names;Geography,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10361,10361,Jivaroan: Ethnologue 2005,Yes,summary,,10361,Ethnologue15,South America,Alternative_Names;Geography,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10362,10362,Mascoian: Ethnologue 2005,Yes,summary,,10362,Ethnologue15,South America,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10365,10365,Austronesian: Haudricourt 1962,Yes,summary,,10365,,Pacific,Comment,"Capell, Arthur  & André G Haudricourt. 1962. Comment on Capell, Oceanic Linguistics Today, Current Anthropology, vol. 3:4, 410. Chicago: University of Chicago Press."
10370,10370,Austronesian: Ruhlen 1991,Yes,summary,,10370,Ruhlen-1991[167],Pacific,Comment,"Ruhlen, Merritt. 1991. A Guide to the World's Languages, vol. 1: Classification, 167. Stanford: Stanford University Press. ISBN 0-8047-1894-6"
10381,10381,Amto-Musan: Composite 2008,Yes,summary,,10381,,Pacific,Alternative_Names,Multiple sources Integrated by The LINGUIST List.
10382,10382,Andamanese: Ethnologue 2005,Yes,summary,,10382,Ethnologue15,Asia,Alternative_Names;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10383,10383,Andamanese: Composite 2008,Yes,summary,,10383,,Asia,Alternative_Names;Comment;Status,Multiple sources Integrated by The LINGUIST List.
