Source,Citations
,"""Uralic Languages"": Encyclopædia Britannica Online. http://www.britannica.com/EBchecked/topic/619069/Uralic-languages.  (12 May, 2009.)"
,"1926. The Encyclopaedia Britannica: a dictionary of arts, sciences, literature & general information, vol. 27, 784-786. London: Encyclopaedia Britannica."
,"1971. Pidgins, Creoles, and Lingue Franche, Linguistics in Oceania Current Trends in Linguistics (Current Trends in Linguistics), part 2 edn., vol. 8, 999-1021. Paris: Mouton."
,"1981. Language and Dialect Atlas of Kenya, vol. IV. Berlin: Dietrich Reimer Verlag Berlin."
,"1997. Lolo-Burmese linguistic archaeology, vol. 27, 233-239. Parkville, Australia: Ilia Pieros."
,"1998. Journal of Semitic Studies, vol. 43, 209-219. , Diakonoff, Igor. 1996. Some Reflection on the Afrasian Linguistic Macrofamily, Journal of Near Eastern Studies, vol. 55, 293-294."
,"2000. Indo-European and Its Closest Relatives: The Eurasiatic Language Family, vol. 1, Grammar, 279-281. Stanford: Stanford University Press. ISBN 804738122"
,"2002. Indo-European and Its Closest Relatives: The Eurasiatic Language Family, vol. 2, Lexicon, 193-194. Stanford: Stanford University Press. ISBN 804738122"
,2006. Présentation des langues Sara-Bongo-Baguirmiennes.
,"2011. AUSTLANG: Australian Indigenous Languages Database. http://austlang.aiatsis.gov.au/main.php.  (19 October, 2009.), Multiple sources Integrated by The LINGUIST List. , Hammarström, Harald. 2010. A Stratified Guide to Descriptive Resources - For Typologists, Draft 8. http://haraldhammarstrom.ruhosting.nl/lwib.pdf.  (08 August, 2011.), Evans, Nicholas. 2003. Introduction: Comparative non-Pama-Nyungan and Australian historical linguistics. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 3-25. Canberra: Pacific Linguistics. ISBN 085883538, Tindale, Norman B. 1974. Aboriginal tribes of Australia, their terrain, environmental controls, distribution, limits, and proper names. With four sheet map. Berkeley & Canberra: University of California Press. , Dousset, Laurent. AusAnthrop: Research and resources on Aboriginal Australia. http://www.ausanthrop.net/index.php.  (19 October, 2009.), Green, Ian. 2003. The Genetic Status of Murrinh-patha. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 125-158. Canberra: Pacific Linguistics. ISBN 085883538"
,"2011. ISO 639-3 Registration Authority. http://www.sil.org/iso639-3/default.asp.  (04 May, 2011.)"
,"Abondolo, Daniel  & Tiit-Rein  Viitso. 1998. The Uralic Languages, 96-114. 2006. London: Routledge. ISBN 978-0-415-41264-3"
,"Abondolo, Daniel  (ed.). 1998. The Uralic Languages. 2006. London: Routledge. ISBN 978-0-415-41264-3"
,"Adams, Douglas Q. & Eric  Hamp. 2013. The Expansion of the Indo-European Languages: An Indo-Europeanist’s Evolving View, Sino-Platonic Papers, vol. 239. , Hamp, Eric. 1989. Stammbäume, ms."
